avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed,crime_count
51.9,55.4,50,12.1,15,1372
54.8,59,50,11.8,20,1281
55.9,59,53.6,7.4,13,1344
58.7,62.6,55.4,7.5,9.9,1326
63.5,68,57.2,5.5,8,1370
73.8,75.2,73.4,6,15,1476
72.3,84.2,62.6,10,16.9,1380
79.8,87.8,69.8,10.3,15,1429
84.6,89.6,77,13.3,20,1392
76.6,87.8,73.4,12.4,15,1421
77.8,86,66.2,11.2,15,1376
73.8,80.6,68,8.9,15,1435
79.7,91.4,64.4,12,15,1494
79.8,89.6,68,13.4,15,1535
68.2,69.8,64.4,7.3,9.9,1405
63.2,66.2,60.8,7.8,12,1321
61.5,64.4,57.2,11.4,14,1374
64.6,69.8,59,7.3,12,1326
69.4,75.2,60.8,7.4,12,1286
74.9,80.6,68,8.6,15,1381
75.6,82.4,69.8,8.2,13,1363
76.7,80.6,71.6,9.6,15,1363
76.7,82.4,71.6,8.5,12,1380
79.5,84.2,73.4,7.4,9.9,1450
83.4,87.8,75.2,10.4,16.9,1403
68.7,87.8,60.8,14.5,20,1601
62.3,71.6,57.2,9,15,1372
70.3,78.8,64.4,10.6,15.9,1316
78.5,86,71.6,8.4,14,1420
66.2,73.4,62.6,12.8,18.1,1375
70.3,77,62.6,9,15,1455
78.4,87.8,64.4,10.4,13,1447
77.2,86,73.4,7.2,9.9,1385
77.3,82.4,71.6,8.7,14,1431
78.8,82.4,71.6,8.2,14,1492
71.5,78.8,68,12.1,18.1,1397
71.9,75.2,68,8.1,9.9,1419
71.3,75.2,68,10.1,14,1511
75.4,80.6,68,8.4,13,1442
78.5,84.2,71.6,7.3,9.9,1391
81.1,86,73.4,9.4,13,1511
78.9,84.2,71.6,8.9,15,1425
76.3,84.2,73.4,6.2,9.9,1406
79.1,84.2,73.4,9.1,14,1402
83.2,91.4,78.8,8.6,13,1502
80.6,87.8,73.4,7.5,25.1,1429
81.6,91.4,73.4,9.4,20,1468
81.1,84.2,75.2,6,8,1418
73.1,78.8,68,14.9,20,1463
73.5,77,71.6,15.2,20,1434
71.5,75.2,66.2,13.2,22,1465
75.1,78.8,69.8,9,14,1458
78,82.4,75.2,6.5,9.9,1423
76.2,82.4,71.6,6.2,9.9,1463
83.2,91.4,75.2,9,15,1416
87.5,91.4,78.8,11,15,1586
78.3,87.8,73.4,9.2,25.1,1310
77.2,80.6,73.4,8.6,14,1417
77.3,80.6,73.4,9.2,13,1516
80.4,86,73.4,8.2,13,1472
84.2,91.4,75.2,8.8,12,1503
86,93.2,78.8,9.5,13,1441
88.6,93.2,80.6,10.7,14,1433
88.8,95,80.6,10.8,15,1343
76.5,91.4,73.4,16.2,20,1563
74.2,77,71.6,13.5,20,1390
77.1,84.2,69.8,9.3,12,1406
74.2,77,71.6,13.9,20,1412
71.6,73.4,68,11.2,19,1409
73.5,78.8,68,7.1,9.9,1520
70,73.4,68,11.1,15,1433
72.4,80.6,64.4,11.4,15,1334
70.2,75.2,66.2,9.8,15,1324
