avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed
63.5,68.0,57.2,5.5,8.0
61.9,64.4,59.0,999.9,999.9
73.8,75.2,73.4,6.0,15.0
72.3,84.2,62.6,10.0,16.9
79.8,87.8,69.8,10.3,15.0
84.6,89.6,77.0,13.3,20.0
76.6,87.8,73.4,12.4,15.0
77.8,86.0,66.2,11.2,15.0
73.8,80.6,68.0,8.9,15.0
79.7,91.4,64.4,12.0,15.0
79.8,89.6,68.0,13.4,15.0
68.2,69.8,64.4,7.3,9.9
63.2,66.2,60.8,7.8,12.0
61.5,64.4,57.2,11.4,14.0
64.6,69.8,59.0,7.3,12.0
69.4,75.2,60.8,7.4,12.0
74.9,80.6,68.0,8.6,15.0
75.6,82.4,69.8,8.2,13.0
76.7,80.6,71.6,9.6,15.0
76.7,82.4,71.6,8.5,12.0
79.5,84.2,73.4,7.4,9.9
83.4,87.8,75.2,10.4,16.9
68.7,87.8,60.8,14.5,20.0
62.3,71.6,57.2,9.0,15.0
70.3,78.8,64.4,10.6,15.9
78.5,86.0,71.6,8.4,14.0
66.2,73.4,62.6,12.8,18.1
70.3,77.0,62.6,9.0,15.0
78.4,87.8,64.4,10.4,13.0
77.2,86.0,73.4,7.2,9.9
77.3,82.4,71.6,8.7,14.0
78.8,82.4,71.6,8.2,14.0
71.5,78.8,68.0,12.1,18.1
71.9,75.2,68.0,8.1,9.9
71.3,75.2,68.0,10.1,14.0
75.4,80.6,68.0,8.4,13.0
78.5,84.2,71.6,7.3,9.9
81.1,86.0,73.4,9.4,13.0
78.9,84.2,71.6,8.9,15.0
76.3,84.2,73.4,6.2,9.9
79.1,84.2,73.4,9.1,14.0
80.1,87.8,9999.9,7.6,11.1
83.2,91.4,78.8,8.6,13.0
80.6,87.8,73.4,7.5,25.1
81.6,91.4,73.4,9.4,20.0
81.1,84.2,75.2,6.0,8.0
73.1,78.8,68.0,14.9,20.0
73.5,77.0,71.6,15.2,20.0
71.5,75.2,66.2,13.2,22.0
75.1,78.8,69.8,9.0,14.0
78.0,82.4,75.2,6.5,9.9
76.2,82.4,71.6,6.2,9.9
83.2,91.4,75.2,9.0,15.0
87.5,91.4,78.8,11.0,15.0
78.3,87.8,73.4,9.2,25.1
77.2,80.6,73.4,8.6,14.0
77.3,80.6,73.4,9.2,13.0
80.4,86.0,73.4,8.2,13.0
84.2,91.4,75.2,8.8,12.0
86.0,93.2,78.8,9.5,13.0
88.6,93.2,80.6,10.7,14.0
88.8,95.0,80.6,10.8,15.0
76.5,91.4,73.4,16.2,20.0
74.2,77.0,71.6,13.5,20.0
77.1,84.2,69.8,9.3,12.0
74.2,77.0,71.6,13.9,20.0
71.6,73.4,68.0,11.2,19.0
73.5,78.8,68.0,7.1,9.9
70.0,73.4,68.0,11.1,15.0
72.4,80.6,64.4,11.4,15.0
70.2,75.2,66.2,9.8,15.0
69.4,73.4,64.4,13.2,23.9
72.8,78.8,64.4,11.5,16.9
74.4,78.8,66.2,10.5,15.0
76.2,87.8,71.6,11.0,18.1
74.6,77.0,73.4,9.7,15.0
73.3,75.2,69.8,10.0,15.0
75.0,80.6,71.6,10.8,15.9
75.3,78.8,69.8,8.8,15.0
79.1,84.2,71.6,10.2,15.0
75.9,82.4,71.6,13.9,20.0
75.0,80.6,69.8,9.5,14.0
79.5,86.0,73.4,10.9,14.0
74.0,84.2,68.0,12.8,15.9
65.4,68.0,60.8,10.6,14.0
70.7,80.6,60.8,7.2,13.0
78.0,86.0,66.2,10.5,19.0
73.4,80.6,69.8,13.5,15.9
71.0,75.2,66.2,9.4,15.0
75.6,82.4,66.2,10.5,15.0
79.9,87.8,71.6,12.2,20.0
79.5,84.2,75.2,13.3,15.0
71.2,78.8,62.6,10.7,15.0
69.3,78.8,57.2,13.1,20.0
72.2,82.4,64.4,8.0,9.9
75.3,84.2,66.2,9.6,14.0
67.9,82.4,62.6,16.9,23.9
61.1,64.4,57.2,15.5,20.0
63.4,68.0,59.0,10.5,15.0
65.2,69.8,59.0,7.5,9.9
65.9,69.8,62.6,6.5,9.9
65.1,68.0,62.6,9.1,15.9
65.3,68.0,62.6,12.7,15.0
67.2,75.2,57.2,10.7,20.0
66.8,69.8,64.4,8.0,12.0
69.2,75.2,59.0,7.1,9.9
